Model_x,Release Date,model,MMLU,GSM8,Humanities,SocialSciences,STEM,Other,Longbench,Question,Model_y,Start Time,End Time,Acc,Right Possibility
gpt4_0613,2023-06-13,gpt4_0613,,,,,,,,This Question is proposed on 2024-03-01. What will be the annualized rate of US housing starts for June 2024?,gpt4_0613,2024-03-01,2024-07-01,0,0
gpt4_0613,2023-06-13,gpt4_0613,,,,,,,,This Question is proposed on 2024-01-12. How many total Southwest Land Border Encounters will be reported in the US from January 2024 through June 2024 by US Customs and Border Protection (CBP)?,gpt4_0613,2024-01-12,2024-07-01,1,1
gpt4_0613,2023-06-13,gpt4_0613,,,,,,,,This Question is proposed on 2023-11-17. How many seats will the European People's Party Group (EPP) win in the 2024 European Parliament (EP) elections?,gpt4_0613,2023-11-17,2024-06-06,0,0
gpt4_0613,2023-06-13,gpt4_0613,,,,,,,,This Question is proposed on 2024-01-26. How many seats will the Identity & Democracy Group (ID) win in the 2024 European Parliament (EP) elections?,gpt4_0613,2024-01-26,2024-06-06,0,0
gpt4_0613,2023-06-13,gpt4_0613,,,,,,,,This Question is proposed on 2024-03-29. Who will Donald Trump announce as his running mate in the 2024 US presidential election?,gpt4_0613,2024-03-29,2024-07-15,0,0
gpt4_0613,2023-06-13,gpt4_0613,,,,,,,,This Question is proposed on 2024-01-22. Will Donald Trump cease to be a candidate for the 2024 Republican nomination for US president before 15 July 2024?,gpt4_0613,2024-01-22,2024-07-15,1,1
gpt4_0613,2023-06-13,gpt4_0613,,,,,,,,This Question is proposed on 2023-11-14. What will be China's annual GDP growth rate for the second quarter of 2024?,gpt4_0613,2023-11-14,2024-07-01,0,0
gpt4_0613,2023-06-13,gpt4_0613,,,,,,,,This Question is proposed on 2023-12-08. Which national team will win the UEFA EURO 2024 Final?,gpt4_0613,2023-12-08,2024-07-14,0,0
gpt4_0613,2023-06-13,gpt4_0613,,,,,,,,This Question is proposed on 2023-12-29. Will the full US House of Representatives vote on impeaching President Joe Biden before 13 July 2024?,gpt4_0613,2023-12-29,2024-07-13,1,1
gpt4_0613,2023-06-13,gpt4_0613,,,,,,,,This Question is proposed on 2023-12-29. Will Donald Trump be criminally charged under 18 U.S.C. §2383 (Rebellion or insurrection) before 13 July 2024?,gpt4_0613,2023-12-29,2024-07-13,1,1
gpt4_0613,2023-06-13,gpt4_0613,,,,,,,,This Question is proposed on 2023-07-14. When will the US Federal Trade Commission (FTC) file a civil complaint against OpenAI?,gpt4_0613,2023-07-14,2024-07-13,1,1
gpt4_0613,2023-06-13,gpt4_0613,,,,,,,,This Question is proposed on 2024-03-01. What will be the 12-month percentage change in the US Consumer Price Index (CPI) for June 2024?,gpt4_0613,2024-03-01,2024-07-01,0,0
gpt4_0613,2023-06-13,gpt4_0613,,,,,,,,This Question is proposed on 2023-08-11. What will be the 12-month percentage change in the US Consumer Price Index (CPI) for June 2024?,gpt4_0613,2023-08-11,2024-07-01,0,0
gpt4_0613,2023-06-13,gpt4_0613,,,,,,,,This Question is proposed on 2024-03-01. What will be the spot price per million BTUs for natural gas on 28 June 2024?,gpt4_0613,2024-03-01,2024-06-28,0,0
gpt4_0613,2023-06-13,gpt4_0613,,,,,,,,"This Question is proposed on 2023-10-08. Between 9 October 2023 and 9 July 2024, will the UK or a European Union member state publicly accuse a group or entity the EU lists as a terrorist group or entity of perpetrating an attack within either the UK or EU resulting in at least one fatality?",gpt4_0613,2023-10-08,2024-07-10,0,0
gpt4_0613,2023-06-13,gpt4_0613,,,,,,,,"This Question is proposed on 2024-01-05. Before 6 July 2024, will American journalist Evan Gershkovich leave Russia?",gpt4_0613,2024-01-05,2024-07-06,1,1
gpt4_0613,2023-06-13,gpt4_0613,,,,,,,,This Question is proposed on 2024-05-10. Will early elections for the French National Assembly (Assemblée Nationale) be called before 1 July 2025?,gpt4_0613,2024-05-10,2024-07-07,0,0
gpt4_0613,2023-06-13,gpt4_0613,,,,,,,,"This Question is proposed on 2024-06-14. How many seats will the Rassemblement National (National Rally, or RN) party/alliance win in the next French National Assembly elections?",gpt4_0613,2024-06-14,2024-07-07,0,0
gpt4_0613,2023-06-13,gpt4_0613,,,,,,,,This Question is proposed on 2024-05-24. Who will win the next Iranian presidential election?,gpt4_0613,2024-05-24,2024-07-05,1,1
gpt4_0613,2023-06-13,gpt4_0613,,,,,,,,"This Question is proposed on 2024-03-08. Between 1 March 2024 and 30 June 2024, how many total fatalities will occur in Sudan due to conflicts and protests, according to ACLED?",gpt4_0613,2024-03-08,2024-07-01,1,1
gpt4_0613,2023-06-13,gpt4_0613,,,,,,,,This Question is proposed on 2024-03-01. What will be the US civilian unemployment rate (U3) for June 2024?,gpt4_0613,2024-03-01,2024-07-01,0,0
gpt4_0613,2023-06-13,gpt4_0613,,,,,,,,This Question is proposed on 2024-05-22. How many seats will the Conservative Party win in the next UK general election?,gpt4_0613,2024-05-22,2024-07-04,0,0
gpt4_0613,2023-06-13,gpt4_0613,,,,,,,,This Question is proposed on 2024-03-01. What will be the spot price per barrel for West Texas Intermediate (WTI) crude oil on 28 June 2024?,gpt4_0613,2024-03-01,2024-06-28,1,1
