Model_x,Release Date,model,MMLU,GSM8,Humanities,SocialSciences,STEM,Other,Longbench,Question,Model_y,Start Time,End Time,Acc,Right Possibility
Baichuan2-7B-Base,2023-08-24,Baichuan2-7B-Base,54.0,24.4,46.87,58.73,42.63,58.9,16.32,"Will Russia officially lift any part of its food embargo on the United States, any or all of the European Union member states, Canada, Australia, Norway, Iceland, Albania, Montenegro or Liechtenstein before 6 August 2016?",Baichuan2-7B-Base,2015-09-01,2015-09-17,0.0,0.2674
Baichuan2-7B-Base,2023-08-24,Baichuan2-7B-Base,54.0,24.4,46.87,58.73,42.63,58.9,16.32,Will Congress pass a resolution disapproving the Joint Comprehensive Plan of Action?,Baichuan2-7B-Base,2015-09-01,2015-09-18,1.0,1.0
Baichuan2-7B-Base,2023-08-24,Baichuan2-7B-Base,54.0,24.4,46.87,58.73,42.63,58.9,16.32,Will the IAEA conduct an on-site inspection of the Parchin military complex in Iran before the end of the year?,Baichuan2-7B-Base,2015-09-14,2015-09-21,0.0,0.2227
Baichuan2-7B-Base,2023-08-24,Baichuan2-7B-Base,54.0,24.4,46.87,58.73,42.63,58.9,16.32,Will Russians conduct airstrikes in Syria before 1 May 2016?,Baichuan2-7B-Base,2015-09-21,2015-09-30,1.0,0.5641
Baichuan2-7B-Base,2023-08-24,Baichuan2-7B-Base,54.0,24.4,46.87,58.73,42.63,58.9,16.32,Who will Twitter name as their permanent CEO before the end of the year?,Baichuan2-7B-Base,2015-09-21,2015-10-05,1.0,0.9842
Baichuan2-7B-Base,2023-08-24,Baichuan2-7B-Base,54.0,24.4,46.87,58.73,42.63,58.9,16.32,"Will the book “Superforecasting"" (2015) be on the New York Times Bestseller's list by the end of October?",Baichuan2-7B-Base,2015-09-01,2015-10-08,0.0,0.3775
Baichuan2-7B-Base,2023-08-24,Baichuan2-7B-Base,54.0,24.4,46.87,58.73,42.63,58.9,16.32,Will the Iranian Parliament approve the Joint Comprehensive Plan of Action before 1 November 2015?,Baichuan2-7B-Base,2015-09-14,2015-10-13,1.0,0.5622
Baichuan2-7B-Base,2023-08-24,Baichuan2-7B-Base,54.0,24.4,46.87,58.73,42.63,58.9,16.32,Which party will the next Canadian Prime Minister come from?,Baichuan2-7B-Base,2015-09-21,2015-10-19,1.0,0.6031
Baichuan2-7B-Base,2023-08-24,Baichuan2-7B-Base,54.0,24.4,46.87,58.73,42.63,58.9,16.32,How many seats in Poland's Sejm will PiS (Law and Justice) win in the upcoming parliamentary elections?,Baichuan2-7B-Base,2015-09-08,2015-10-25,1.0,0.9047
Baichuan2-7B-Base,2023-08-24,Baichuan2-7B-Base,54.0,24.4,46.87,58.73,42.63,58.9,16.32,How many seats will the Justice and Development Party (AKP) win in Turkey's snap elections?,Baichuan2-7B-Base,2015-09-01,2015-11-01,1.0,0.9526
