Question,Started_time,Closed_time,Challenges_list,Tags_list,Description,Possible_Answers_dict
Will the adopted EU Artificial Intelligence (AI) Act be published in the Official Journal of the European Union before 25 May 2024?,"Dec 22, 2023 06:00PM UTC","May 25, 2024 07:01AM UTC",['In the News 2024'],"['Business', 'Technology', 'Society', 'Non-US Politics']","After years of negotiations between EU institutions and member states, the European Parliament reached a political agreement with the European Council to move the EU AI Act forward toward adoption (European Parliament, The Verge, Politico, European Parliament - Legislative Train Schedule).","{'Yes': {'Correct?': False, 'Final Crowd Forecast': '16%'}, 'No': {'Correct?': True, 'Final Crowd Forecast': '84%'}}"
"When will the leaders of China, Japan, and South Korea next hold a trilateral meeting in person?","Apr 05, 2024 05:00PM UTC","May 27, 2024 02:00AM UTC","['In the News 2024', 'The Economist: The World Ahead 2024']","['Foreign Policy', 'Security and Conflict', 'Non-US Politics']","While a trilateral meeting between Japan, South Korea, and the US is reportedly planned for July 2024, efforts are reportedly still underway to restart once-regular trilateral meetings between the leaders of China, Japan, and South Korea, though December 2023 came and went despite South Korea having reportedly proposed a meeting for that month (Economist, Global Times, US News & World Report, Deutsche Welle). The location of the meeting is immaterial, so long as all three leaders are in the same room. A meeting held in concert with another event (e.g., G20 summit, state visit) would count so long as a meeting is held with the three leaders among themselves and their own respective entourages. For the purposes of this question, the leaders of Japan and South Korea are the prime minister and president, respectively, and a meeting without either leader would not count. As of the launch of this question, Li Qiang was the incumbent Premier of China, and Xi Jinping was the incumbent President of China. A meeting without either China's premier or president would not count, and a meeting with both China's premier and president would close ""and the President of China will represent China.""","{'Before 1 July 2024, and the Premier of China will represent China': {'Correct?': True, 'Final Crowd Forecast': '75%'}, 'Before 1 July 2024, and the President of China will represent China': {'Correct?': False, 'Final Crowd Forecast': '2%'}, 'Between 1 July 2024 and 30 September 2024, and the Premier of China will represent China': {'Correct?': False, 'Final Crowd Forecast': '4%'}, 'Between 1 July 2024 and 30 September 2024, and the President of China will represent China': {'Correct?': False, 'Final Crowd Forecast': '2%'}, 'No meeting will take place before 1 October 2024': {'Correct?': False, 'Final Crowd Forecast': '17%'}}"
Which football (soccer) club will win the 2023-24 UEFA Women's Champions League final?,"Feb 09, 2024 06:00PM UTC","May 25, 2024 07:01AM UTC","['In the News 2024', ""2023-24 'Sportsball' Challenge""]","['Business', 'Sports']","The 2023-24 UEFA Champions League final is scheduled to be played at San Mamés Stadium in Bilbao, Spain, on 25 May 2024 (UEFA, UEFA - Women's Champions League Clubs). The first quarterfinal matches are scheduled for 19 March 2024 (UEFA - Quarter-finals Draws, Sports Illustrated).","{'Ajax (Netherlands)': {'Correct?': False, 'Final Crowd Forecast': '0%'}, 'Barcelona (Spain)': {'Correct?': True, 'Final Crowd Forecast': '76%'}, 'Benfica (Portugal)': {'Correct?': False, 'Final Crowd Forecast': '0%'}, 'Brann (Norway)': {'Correct?': False, 'Final Crowd Forecast': '0%'}, 'Chelsea (England)': {'Correct?': False, 'Final Crowd Forecast': '1%'}, 'Häcken (Sweden)': {'Correct?': False, 'Final Crowd Forecast': '0%'}, 'Lyon (France)': {'Correct?': False, 'Final Crowd Forecast': '23%'}, 'Paris (France)': {'Correct?': False, 'Final Crowd Forecast': '0%'}}"
Who will win the special election for California's 20th Congressional District in 2024?,"Feb 09, 2024 06:00PM UTC","May 21, 2024 07:01AM UTC","['2024 US Election Challenge', 'In the News 2024']","['Leader Entry/Exit', 'US Politics', 'Elections and Referenda']","Representative Kevin McCarthy resigned from the House a few months after being ousted as Speaker, creating a vacancy to be filled by a special election scheduled for 21 May 2024 (AP, Bakersfield Californian, Ballotpedia). The nonpartisan primary is scheduled for 19 March 2024 (KGET).","{'Mike Boudreaux': {'Correct?': False, 'Final Crowd Forecast': '3%'}, 'Vince Fong': {'Correct?': True, 'Final Crowd Forecast': '97%'}, 'Marisa Wood': {'Correct?': False, 'Final Crowd Forecast': '0%'}, 'Someone else': {'Correct?': False, 'Final Crowd Forecast': '0%'}}"
What will be the total value of trade between Australia and China in the first four months of 2024?,"Nov 29, 2023 06:00PM UTC","May 01, 2024 07:01AM UTC","['City University of Hong Kong Challenge', 'In the News 2024', 'Foxes Ask']","['Business', 'Economic Policy', 'Economic Indicators', 'Foreign Policy', 'Non-US Politics']","As relations between Australia and China have thawed in recent years, trade has increased between the two countries (US News & World Report, Yahoo, Prime Minister of Australia). The question will be suspended on 30 April 2024 and outcome determined using data as reported by China's General Administration of Customs when data for April 2024 are first available (Stats.customs.gov.cn). On the site, 1) set ""Flow"" to ""Import and Export,"" 2) set ""Currency"" to ""US dollar,"" 3) set ""Period"" for the appropriate date ranges, 4) check the ""By month"" box, 5) set the first ""Select"" row to ""Select partner,"" 6) enter ""601"" into the field to the immediate right of ""Select partner,"" and 7) click ""Enquiry."" Click ""Confirm"" in the notification box that comes up, then complete the captcha puzzle. For historical data current as of the launch of this question, download: https://goodjudgment.io/docs/Australia_China_Trade_Data_2018-2023YTD_28_November_2023.xlsx. As of the launch of this question, China's General Administration of Customs reported the total value of trade between Australia and China in the first four months of 2023 to be $77.865 billion.","{'Less than $62 billion': {'Correct?': False, 'Final Crowd Forecast': '7%'}, 'Between $62 billion and $68 billion, inclusive': {'Correct?': False, 'Final Crowd Forecast': '0%'}, 'More than $68 billion but less than $74 billion': {'Correct?': True, 'Final Crowd Forecast': '38%'}, 'Between $74 billion and $80 billion, inclusive': {'Correct?': False, 'Final Crowd Forecast': '53%'}, 'More than $80 billion but less than $86 billion': {'Correct?': False, 'Final Crowd Forecast': '2%'}, 'Between $86 billion and $92 billion, inclusive': {'Correct?': False, 'Final Crowd Forecast': '0%'}, 'More than $92 billion': {'Correct?': False, 'Final Crowd Forecast': '0%'}}"
Will a member of the LIV Golf League (LIV) win the 2024 PGA Championship?,"Mar 08, 2024 06:00PM UTC","May 19, 2024 07:01AM UTC","['In the News 2024', ""2023-24 'Sportsball' Challenge""]","['Business', 'Sports']","Saudi Public Investment Fund-backed LIV, founded in 2021, has been a rival to the nearly-century old PGA which generally has not permitted LIV golfers to participate in their events, with some exceptions (Golf Digest, National Club Golfer). The PGA Championship is scheduled for 13-19 May 2024 (PGA Championship). If a merger between LIV and the PGA is completed before the PGA Championship, further instructions will be given depending on the nature of a final agreement (Today's Golfer).","{'Yes': {'Correct?': False, 'Final Crowd Forecast': '22%'}, 'No': {'Correct?': True, 'Final Crowd Forecast': '78%'}}"
Which team will win the English Premier League for the 2023-24 season?,"Sep 22, 2023 05:00PM UTC","May 19, 2024 07:01AM UTC","['In the News 2024', ""2023-24 'Sportsball' Challenge"", 'Foxes Ask']","['Business', 'Sports', 'Entertainment']","The Premier League is the highest level of professional soccer (football) in England and Wales (Premier League, Premier League - Standings/Tables). The final matches of the season (Premier League doesn't use a playoff system) are scheduled for 19 May 2024 (Premier League - News).","{'Arsenal': {'Correct?': False, 'Final Crowd Forecast': '14%'}, 'Brighton & Hove Albion': {'Correct?': False, 'Final Crowd Forecast': '0%'}, 'Chelsea': {'Correct?': False, 'Final Crowd Forecast': '1%'}, 'Liverpool': {'Correct?': False, 'Final Crowd Forecast': '1%'}, 'Manchester City': {'Correct?': True, 'Final Crowd Forecast': '85%'}, 'Manchester United': {'Correct?': False, 'Final Crowd Forecast': '0%'}, 'Newcastle': {'Correct?': False, 'Final Crowd Forecast': '0%'}, 'Tottenham Hotspur': {'Correct?': False, 'Final Crowd Forecast': '0%'}, 'Another team': {'Correct?': False, 'Final Crowd Forecast': '0%'}}"
How far will the Oklahoma City Thunder advance in the 2024 NBA playoffs?,"Mar 15, 2024 05:00PM UTC","May 19, 2024 02:40AM UTC","['Foxes Ask', ""2023-24 'Sportsball' Challenge""]","['Business', 'Sports']","After posting a losing record in the 2022-23 regular season, the Oklahoma City Thunder have surprised many as they fight   to end the regular season at the top of the NBA Western Conference (Yahoo, Sports Illustrated, NBA - Standings). The regular season is scheduled to end on 14 April 2024, followed by the Play-In Tournament 16-19 April 2024, and the NBA Finals scheduled to begin on 6 June 2024 (NBA - 2024 Playoff Schedule).","{'The Play-In Tournament or before': {'Correct?': False, 'Final Crowd Forecast': '0%'}, 'The First Round': {'Correct?': False, 'Final Crowd Forecast': '0%'}, 'Conference Semifinals': {'Correct?': True, 'Final Crowd Forecast': '79%'}, 'Conference Finals': {'Correct?': False, 'Final Crowd Forecast': '15%'}, 'NBA Finals': {'Correct?': False, 'Final Crowd Forecast': '4%'}, 'The Thunder will win the 2024 NBA Finals': {'Correct?': False, 'Final Crowd Forecast': '2%'}}"
Will the Drug Enforcement Administration (DEA) publish a proposed rule that would reschedule marijuana to Schedule III or lower before 18 May 2024?,"Jan 12, 2024 06:00PM UTC","May 18, 2024 07:01AM UTC",['In the News 2024'],"['Society', 'Health', 'US Politics', 'US Policy']","The DEA is reportedly ""conducting its review"" of whether to reschedule marijuana under the Controlled Substances Act, currently designated Schedule I (Axios, Congressional Research Service, Vangst, DEA - Drug Scheduling). The question would close upon the proposed rule's publication in the Federal Register (Federal Register). Rescheduling to ""Schedule III or lower"" includes Schedules III, IV, V, or outright descheduling. An interim final rule would count.","{'Yes': {'Correct?': False, 'Final Crowd Forecast': '36%'}, 'No': {'Correct?': True, 'Final Crowd Forecast': '64%'}}"
Will Moody's downgrade its long-term credit rating for the United States before 18 May 2024?,"Nov 17, 2023 06:00PM UTC","May 18, 2024 07:01AM UTC","['In the News 2024', '2024 US Election Challenge']","['Finance', 'US Politics', 'US Policy']","On 10 November 2023, Moody's Investor Service (Moody's) changed its ratings outlook to negative, citing higher interest rates and fiscal deficits (The Hill, CNBC). Moody's, one of the ""Big Three"" global credit rating agencies that assigns ratings on a borrower's likelihood of repaying its debts, was the only member of the Big Three to have a AAA rating for the US as of the launch of this question (Investopedia, Trading Economics).","{'Yes': {'Correct?': False, 'Final Crowd Forecast': '7%'}, 'No': {'Correct?': True, 'Final Crowd Forecast': '93%'}}"
