Model_x,Release Date,model,MMLU,GSM8,Humanities,SocialSciences,STEM,Other,Longbench,Question,Model_y,Start Time,End Time,Acc,Right Possibility
TinyLlama-1.1B-Chat-v0.6,2023-11-24,TinyLlama-1.1B-Chat-v0.6,25.98,2.1,22.2,28.0,32.1,23.5,5.05,"Will Russia officially lift any part of its food embargo on the United States, any or all of the European Union member states, Canada, Australia, Norway, Iceland, Albania, Montenegro or Liechtenstein before 6 August 2016?",TinyLlama-1.1B-Chat-v0.6,2015-09-01,2015-09-17,0.0,0.3923
TinyLlama-1.1B-Chat-v0.6,2023-11-24,TinyLlama-1.1B-Chat-v0.6,25.98,2.1,22.2,28.0,32.1,23.5,5.05,Will Congress pass a resolution disapproving the Joint Comprehensive Plan of Action?,TinyLlama-1.1B-Chat-v0.6,2015-09-01,2015-09-18,1.0,1.0
TinyLlama-1.1B-Chat-v0.6,2023-11-24,TinyLlama-1.1B-Chat-v0.6,25.98,2.1,22.2,28.0,32.1,23.5,5.05,Will the IAEA conduct an on-site inspection of the Parchin military complex in Iran before the end of the year?,TinyLlama-1.1B-Chat-v0.6,2015-09-14,2015-09-21,1.0,0.6225
TinyLlama-1.1B-Chat-v0.6,2023-11-24,TinyLlama-1.1B-Chat-v0.6,25.98,2.1,22.2,28.0,32.1,23.5,5.05,Will Russians conduct airstrikes in Syria before 1 May 2016?,TinyLlama-1.1B-Chat-v0.6,2015-09-21,2015-09-30,1.0,0.5312
TinyLlama-1.1B-Chat-v0.6,2023-11-24,TinyLlama-1.1B-Chat-v0.6,25.98,2.1,22.2,28.0,32.1,23.5,5.05,Who will Twitter name as their permanent CEO before the end of the year?,TinyLlama-1.1B-Chat-v0.6,2015-09-21,2015-10-05,1.0,0.7846
TinyLlama-1.1B-Chat-v0.6,2023-11-24,TinyLlama-1.1B-Chat-v0.6,25.98,2.1,22.2,28.0,32.1,23.5,5.05,"Will the book “Superforecasting"" (2015) be on the New York Times Bestseller's list by the end of October?",TinyLlama-1.1B-Chat-v0.6,2015-09-01,2015-10-08,1.0,0.8439
TinyLlama-1.1B-Chat-v0.6,2023-11-24,TinyLlama-1.1B-Chat-v0.6,25.98,2.1,22.2,28.0,32.1,23.5,5.05,Will the Iranian Parliament approve the Joint Comprehensive Plan of Action before 1 November 2015?,TinyLlama-1.1B-Chat-v0.6,2015-09-14,2015-10-13,1.0,0.6792
TinyLlama-1.1B-Chat-v0.6,2023-11-24,TinyLlama-1.1B-Chat-v0.6,25.98,2.1,22.2,28.0,32.1,23.5,5.05,Which party will the next Canadian Prime Minister come from?,TinyLlama-1.1B-Chat-v0.6,2015-09-21,2015-10-19,1.0,0.6454
TinyLlama-1.1B-Chat-v0.6,2023-11-24,TinyLlama-1.1B-Chat-v0.6,25.98,2.1,22.2,28.0,32.1,23.5,5.05,How many seats in Poland's Sejm will PiS (Law and Justice) win in the upcoming parliamentary elections?,TinyLlama-1.1B-Chat-v0.6,2015-09-08,2015-10-25,1.0,0.8723
TinyLlama-1.1B-Chat-v0.6,2023-11-24,TinyLlama-1.1B-Chat-v0.6,25.98,2.1,22.2,28.0,32.1,23.5,5.05,How many seats will the Justice and Development Party (AKP) win in Turkey's snap elections?,TinyLlama-1.1B-Chat-v0.6,2015-09-01,2015-11-01,1.0,0.9966
