Model_x,Release Date,model,MMLU,GSM8,Humanities,SocialSciences,STEM,Other,Longbench,Question,Model_y,Start Time,End Time,Acc,Right Possibility
gpt4_1106,2023-11-06,gpt4_1106,,,,,,,,Will Representative Dean Phillips cease to be a candidate for the 2024 Democratic nomination for US president before 9 June 2024?,gpt4_1106,2024-02-09,2024-03-06,0,0
gpt4_1106,2023-11-06,gpt4_1106,,,,,,,,When will Nikki Haley cease to be a candidate for the 2024 Republican nomination for US president?,gpt4_1106,2024-01-22,2024-03-06,0,0
gpt4_1106,2023-11-06,gpt4_1106,,,,,,,,What percentage of the vote will Rep. Dean Phillips receive in the 2024 Minnesota Democratic presidential primary?,gpt4_1106,2024-02-16,2024-03-05,0,0
gpt4_1106,2023-11-06,gpt4_1106,,,,,,,,Will a Republican place in the top two in the primary for the special US Senate election for California in 2024?,gpt4_1106,2024-01-05,2024-03-05,0,0
gpt4_1106,2023-11-06,gpt4_1106,,,,,,,,"Before 9 April 2024, will Senator Krysten Sinema publicly announce whether she is running in the US Senate election for Arizona in 2024?",gpt4_1106,2024-01-05,2024-03-05,0,0
gpt4_1106,2023-11-06,gpt4_1106,,,,,,,,"What will be the national average price of a gallon of gasoline on 5 March 2024, according to the American Automobile Association (AAA)?",gpt4_1106,2023-11-24,2024-03-05,0,0
gpt4_1106,2023-11-06,gpt4_1106,,,,,,,,"In Trump v. Anderson, will the Supreme Court rule that the Colorado Supreme Court erred in ordering Donald Trump excluded from the 2024 presidential primary ballot?",gpt4_1106,2024-01-12,2024-03-04,1,1
gpt4_1106,2023-11-06,gpt4_1106,,,,,,,,"In Trump v. Anderson, how many US Supreme Court Justices will vote that the Colorado Supreme Court erred in ordering Donald Trump excluded from the 2024 presidential primary ballot?",gpt4_1106,2024-02-09,2024-03-04,0,0
gpt4_1106,2023-11-06,gpt4_1106,,,,,,,,"What will be the ""net sympathy"" among Americans for Israelis versus Palestinians in 2024, according to Gallup's World Affairs survey?",gpt4_1106,2023-11-10,2024-02-07,0,0
gpt4_1106,2023-11-06,gpt4_1106,,,,,,,,Will SpaceX's next Starship orbital flight test be launched successfully before 1 March 2024?,gpt4_1106,2023-12-29,2024-03-01,0,0
gpt4_1106,2023-11-06,gpt4_1106,,,,,,,,When will Egypt's official exchange rate for the Egyptian pound to the US dollar next reach or exceed 34.5000?,gpt4_1106,2023-10-27,2024-03-01,1,1
gpt4_1106,2023-11-06,gpt4_1106,,,,,,,,"Before 1 March 2024, will a new nationwide national or public health emergency related to COVID-19 be declared by the US federal government?",gpt4_1106,2023-09-01,2024-03-01,1,1
gpt4_1106,2023-11-06,gpt4_1106,,,,,,,,Will the US Supreme Court agree to hear Donald Trump's appeal from the US Court of Appeals for the District of Columbia (DC Circuit) regarding presidential immunity?,gpt4_1106,2024-02-12,2024-02-28,0,0
gpt4_1106,2023-11-06,gpt4_1106,,,,,,,,What percentage of the vote will Nikki Haley receive in the 2024 Michigan Republican presidential primary?,gpt4_1106,2024-02-02,2024-02-27,0,0
gpt4_1106,2023-11-06,gpt4_1106,,,,,,,,What percentage of the vote will Joe Biden receive in the 2024 Michigan Democratic presidential primary?,gpt4_1106,2024-02-02,2024-02-27,0,0
gpt4_1106,2023-11-06,gpt4_1106,,,,,,,,"What percentage of new, light-duty zero emission vehicles (ZEVs) sold in California in 2023 will be Tesla vehicles, according to the California Energy Commission (CEC)?",gpt4_1106,2023-08-25,2024-01-01,0,0
gpt4_1106,2023-11-06,gpt4_1106,,,,,,,,"Before 26 February 2024, will a NATO member invoke either Article 4 or Article 5 in response to actions taken by Belarus?",gpt4_1106,2023-08-25,2024-02-26,1,1
gpt4_1106,2023-11-06,gpt4_1106,,,,,,,,What percentage of the vote will Nikki Haley receive in the 2024 South Carolina Republican presidential primary?,gpt4_1106,2024-01-24,2024-02-24,0,0
gpt4_1106,2023-11-06,gpt4_1106,,,,,,,,What will be the price of natural gas in Europe on 16 February 2024?,gpt4_1106,2023-10-13,2024-02-16,1,1
gpt4_1106,2023-11-06,gpt4_1106,,,,,,,,"How many software as a service (SaaS) companies will be founded in the US in 2023, according to Crunchbase?",gpt4_1106,2023-03-31,2024-01-01,0,0
gpt4_1106,2023-11-06,gpt4_1106,,,,,,,,Who will win the special election for New York's 3rd Congressional District in 2024?,gpt4_1106,2023-12-08,2024-02-13,1,1
gpt4_1106,2023-11-06,gpt4_1106,,,,,,,,When will Kais Saied flee Tunisia or cease to be its president?,gpt4_1106,2023-05-11,2024-02-12,1,1
gpt4_1106,2023-11-06,gpt4_1106,,,,,,,,Which NFL team will win Super Bowl LVIII in 2024?,gpt4_1106,2023-12-08,2024-02-11,0,0
gpt4_1106,2023-11-06,gpt4_1106,,,,,,,,"How many total international overnight guests will visit Dubai in 2023, according to the Dubai Department of Economy and Tourism?",gpt4_1106,2023-02-02,2024-01-01,0,0
gpt4_1106,2023-11-06,gpt4_1106,,,,,,,,Will President Joe Biden win at least 80.0% of the vote in the 2024 Nevada Democratic primary?,gpt4_1106,2024-01-17,2024-02-06,0,0
gpt4_1106,2023-11-06,gpt4_1106,,,,,,,,"In Donald Trump's appeal before the US Court of Appeals for the District of Columbia (DC Circuit), will the DC Circuit rule that President Trump is immune from prosecution for the criminal charges against him in the DC District Court?",gpt4_1106,2024-01-05,2024-02-06,1,1
gpt4_1106,2023-11-06,gpt4_1106,,,,,,,,Will Nikol Pashinyan cease to be the prime minister of Armenia before 6 February 2024?,gpt4_1106,2023-10-06,2024-02-06,1,1
gpt4_1106,2023-11-06,gpt4_1106,,,,,,,,What percentage of the vote will President Joe Biden receive in the 2024 South Carolina Democratic primary?,gpt4_1106,2024-01-17,2024-02-03,0,0
gpt4_1106,2023-11-06,gpt4_1106,,,,,,,,Will Representative Dean Phillips cease to be a candidate for the 2024 Democratic nomination for US president before 3 February 2024?,gpt4_1106,2023-11-03,2024-02-03,0,0
gpt4_1106,2023-11-06,gpt4_1106,,,,,,,,Will President Joe Biden cease to be a candidate for the 2024 Democratic nomination for US president before 3 February 2024?,gpt4_1106,2023-07-21,2024-02-03,1,1
gpt4_1106,2023-11-06,gpt4_1106,,,,,,,,"Will Ukraine's Corruption Perceptions Index score rise in 2023 as compared to 2022, according to Transparency International?",gpt4_1106,2023-09-22,2024-01-01,1,1
gpt4_1106,2023-11-06,gpt4_1106,,,,,,,,Will Elon Musk and Mark Zuckerberg publicly engage in physical combat in an officiated setting before 1 February 2024?,gpt4_1106,2023-07-21,2024-02-01,1,1
gpt4_1106,2023-11-06,gpt4_1106,,,,,,,,When will Apple announce the public release of a new generative artificial intelligence (AI) system in the US?,gpt4_1106,2023-07-28,2024-02-01,1,1
gpt4_1106,2023-11-06,gpt4_1106,,,,,,,,"At close of business on 31 January 2024, will the upper limit of the Federal Reserve's target range for the federal funds rate be lower, the same, or higher than it was at close of business on 13 December 2023?",gpt4_1106,2023-09-22,2024-01-31,0,0
gpt4_1106,2023-11-06,gpt4_1106,,,,,,,,What will be the ending stocks of crude oil in the US Strategic Petroleum Reserve (SPR) in November 2023?,gpt4_1106,2023-03-10,2023-12-01,0,0
