model,"[(-80, -60), (-20, 0)]","[(-60, -40), (-20, 0)]","[(-40, -20), (-20, 0)]"
Baichuan2-13B-Base,6.217248937900877e-15,1.9437262466226457e-08,0.003788363254833005
Baichuan2-13B-Chat,9.987899396435296e-12,0.00012253737852241375,4.22456850702746e-05
Baichuan2-7B-Chat,0.13580204952048536,0.6927771211255179,0.001189698259102201
Colossal-LLaMA-2-7b-base,0.017301797188325252,0.5671941111032404,0.006684257944869487
HF_RWKV_v5-Eagle-7B,0.2926330187591717,0.8658122515639958,0.05938389173979841
Llama-2-13b-hf,1.900479773553343e-12,1.5286050203400237e-10,0.054181080355847455
Llama-2-7b-hf,0.24088229995365162,0.0459225355358871,0.00040495256782080435
Mixtral-8x22B-Instruct-v0.1,1.9984014443252818e-15,3.3306690738754696e-16,0.0015983557487944111
Phi-3-mini-4k-instruct,0.002598890573595969,6.025893161898388e-06,0.05411770774785074
Qwen-14B-Chat,8.257221558727323e-07,0.004327408834654878,0.0019389077029816626
Qwen-1_8B,0.002819040124281469,0.08466626758844287,0.06086489085948754
Qwen-7B,0.4435846781171233,0.549276332290247,0.5369550299011729
Qwen1.5-110b-chat,1.5210055437364645e-14,9.711769943798743e-09,0.03461447453728794
Skywork-13B-base,0.0633938800628201,0.5966236685687942,0.74451230467647
Yi-6B,0.5785970049166789,0.05117516230046648,0.27256835146007274
Yi-6B-Chat,0.031681020485204936,0.020093444379449377,0.026280884505945568
baichuan-7b-chat,7.304598053192723e-05,0.044060919138971144,0.16191649790275353
chatglm3-6b,1.132825504135404e-05,0.05819667624034719,0.11119037521962039
command-r-plus,0.0,8.044981680832564e-09,0.007491142880486468
falcon-rw-1b,0.7946171152616861,0.7536354851082621,0.13164158371233525
gpt4_0613,1.5653034424190082e-12,0.0,5.218048215738236e-15
gpt4_1106,1.4096001810237624e-08,1.761812917777661e-12,5.588584839344435e-08
gpt_3.5_turbo_0613,6.649325534624495e-11,0.0003499622033794614,0.09398923105003987
internlm-chat-7b,0.11612720022382494,0.5673752033084842,0.002813272661404076
llama2-7b-chat-hf,1.1838339820213761e-05,0.00024871081073785106,0.20006556402169984
llama_hf_7b,0.0018642953072907087,9.469208661627704e-08,0.6419024609752101
mistral-7b-v0.1,9.271396993770775e-05,0.002117716687248805,0.9829163951697055
opt-13b,0.002248427284275434,5.3490594176253126e-09,0.5077543522572268
opt-2.7b,0.16061979795889036,0.9639004283099676,0.2989251829845704
phi-1_5,2.4270496623568505e-07,0.003045989723231779,0.042293766079444683
phi-2,0.01781417322442813,0.2611116112555507,0.006390590859771672
pythia-12b,2.93066799050834e-07,0.000993299285808602,0.9939127942207417
zephyr-7b-beta,0.00027008604924028123,0.00027124521388510736,0.03946759422157553
zhongjing-base,0.0002748650840678213,0.1255254494589737,0.09385203384765917
