Model_x,Release Date,model,MMLU,GSM8,Humanities,SocialSciences,STEM,Other,Longbench,Question,Model_y,Start Time,End Time,Acc,Right Possibility
Qwen1.5-110b-chat,2024-04-25,Qwen1.5-110b-chat,,,,,,,,This Question is proposed on 2023-12-22. Will the adopted EU Artificial Intelligence (AI) Act be published in the Official Journal of the European Union before 25 May 2024?,Qwen1.5-110b-chat,2023-12-22,2024-05-25,1,1
Qwen1.5-110b-chat,2024-04-25,Qwen1.5-110b-chat,,,,,,,,"This Question is proposed on 2024-04-05. When will the leaders of China, Japan, and South Korea next hold a trilateral meeting in person?",Qwen1.5-110b-chat,2024-04-05,2024-05-27,0,0
Qwen1.5-110b-chat,2024-04-25,Qwen1.5-110b-chat,,,,,,,,This Question is proposed on 2024-02-09. Which football (soccer) club will win the 2023-24 UEFA Women's Champions League final?,Qwen1.5-110b-chat,2024-02-09,2024-05-25,0,0
Qwen1.5-110b-chat,2024-04-25,Qwen1.5-110b-chat,,,,,,,,This Question is proposed on 2024-02-09. Who will win the special election for California's 20th Congressional District in 2024?,Qwen1.5-110b-chat,2024-02-09,2024-05-21,0,0
Qwen1.5-110b-chat,2024-04-25,Qwen1.5-110b-chat,,,,,,,,This Question is proposed on 2023-11-29. What will be the total value of trade between Australia and China in the first four months of 2024?,Qwen1.5-110b-chat,2023-11-29,2024-05-01,0,0
Qwen1.5-110b-chat,2024-04-25,Qwen1.5-110b-chat,,,,,,,,This Question is proposed on 2024-03-08. Will a member of the LIV Golf League (LIV) win the 2024 PGA Championship?,Qwen1.5-110b-chat,2024-03-08,2024-05-19,1,1
Qwen1.5-110b-chat,2024-04-25,Qwen1.5-110b-chat,,,,,,,,This Question is proposed on 2023-09-22. Which team will win the English Premier League for the 2023-24 season?,Qwen1.5-110b-chat,2023-09-22,2024-05-19,1,1
Qwen1.5-110b-chat,2024-04-25,Qwen1.5-110b-chat,,,,,,,,This Question is proposed on 2024-03-15. How far will the Oklahoma City Thunder advance in the 2024 NBA playoffs?,Qwen1.5-110b-chat,2024-03-15,2024-05-19,1,1
Qwen1.5-110b-chat,2024-04-25,Qwen1.5-110b-chat,,,,,,,,This Question is proposed on 2024-01-12. Will the Drug Enforcement Administration (DEA) publish a proposed rule that would reschedule marijuana to Schedule III or lower before 18 May 2024?,Qwen1.5-110b-chat,2024-01-12,2024-05-18,1,1
Qwen1.5-110b-chat,2024-04-25,Qwen1.5-110b-chat,,,,,,,,This Question is proposed on 2023-11-17. Will Moody's downgrade its long-term credit rating for the United States before 18 May 2024?,Qwen1.5-110b-chat,2023-11-17,2024-05-18,1,1
Qwen1.5-110b-chat,2024-04-25,Qwen1.5-110b-chat,,,,,,,,This Question is proposed on 2024-02-16. Which country or countries will FIFA announce as the host(s) of the 2027 Women’s World Cup?,Qwen1.5-110b-chat,2024-02-16,2024-05-17,0,0
